Date,CPI,CPI_mom
2015-01,119.5,
2015-02,119.7,0.16736401673640433
2015-03,120.2,0.41771094402673903
2015-04,120.7,0.4159733777038266
2015-05,121.6,0.7456503728251684
2015-06,123.0,1.1513157894736947
2015-07,123.6,0.4878048780487809
2015-08,124.8,0.9708737864077666
2015-09,125.4,0.48076923076922906
2015-10,126.1,0.5582137161084466
2015-11,126.6,0.3965107057890549
2015-12,126.1,-0.3949447077409185
2016-01,126.3,0.15860428231562196
2016-02,126.0,-0.23752969121140222
2016-03,126.0,0.0
2016-04,127.3,1.031746031746028
2016-05,128.6,1.021209740769824
2016-06,130.1,1.1664074650077794
2016-07,131.1,0.768639508070712
2016-08,131.1,0.0
2016-09,130.9,-0.15255530129670847
2016-10,131.4,0.381970970206269
2016-11,131.2,-0.15220700152208666
2016-12,130.4,-0.609756097560965
2017-01,130.3,-0.07668711656441118
2017-02,130.6,0.2302379125095788
2017-03,130.9,0.22970903522205877
2017-04,131.1,0.15278838808250317
2017-05,131.4,0.22883295194509046
2017-06,132.0,0.45662100456620447
2017-07,134.2,1.6666666666666607
2017-08,135.4,0.8941877794336861
2017-09,135.2,-0.1477104874446189
2017-10,136.1,0.6656804733727872
2017-11,137.6,1.102130786186617
2017-12,137.2,-0.29069767441860517
2018-01,136.9,-0.21865889212826506
2018-02,136.4,-0.36523009495982306
2018-03,136.5,0.07331378299120228
2018-04,137.1,0.439560439560438
2018-05,137.8,0.510576221735981
2018-06,138.5,0.5079825834542806
2018-07,139.8,0.9386281588447787
2018-08,140.4,0.42918454935620964
2018-09,140.2,-0.14245014245015675
2018-10,140.7,0.3566333808844524
2018-11,140.8,0.0710732054015839
2018-12,140.1,-0.49715909090910504
2019-01,139.6,-0.35688793718772205
2019-02,139.9,0.21489971346706493
2019-03,140.4,0.3573981415296634
2019-04,141.2,0.5698005698005604
2019-05,142.0,0.56657223796035
2019-06,142.9,0.6338028169014187
2019-07,144.2,0.9097270818754222
2019-08,145.0,0.554785020804438
2019-09,145.8,0.5517241379310533
2019-10,147.2,0.9602194787379892
2019-11,148.6,0.9510869565217517
2019-12,150.4,1.211305518169592
2020-01,150.2,-0.13297872340426453
2020-02,149.1,-0.7323568575232975
2020-03,148.6,-0.3353454057679395
2020-04,151.4,1.8842530282638048
2020-05,150.9,-0.33025099075296716
2020-06,151.8,0.5964214711729587
2020-07,153.9,1.383399209486158
2020-08,154.7,0.5198180636777128
2020-09,156.4,1.0989010989011172
2020-10,158.4,1.278772378516635
2020-11,158.9,0.31565656565657463
2020-12,157.3,-1.0069225928256764
2021-01,156.3,-0.6357279084551859
2021-02,156.6,0.19193857965449368
2021-03,156.8,0.12771392081738497
2021-04,157.8,0.6377551020408267
2021-05,160.4,1.6476552598225558
2021-06,161.3,0.5610972568578676
2021-07,162.5,0.7439553626782391
2021-08,162.9,0.2461538461538515
2021-09,163.2,0.18416206261508972
2021-10,165.5,1.4093137254902022
2021-11,166.7,0.7250755287008914
2021-12,166.2,-0.29994001199760145
2022-01,165.7,-0.30084235860409203
2022-02,166.1,0.24140012070006378
2022-03,167.7,0.9632751354605729
2022-04,170.1,1.4311270125223707
2022-05,171.7,0.9406231628453776
2022-06,172.6,0.5241700640652436
2022-07,173.4,0.4634994206257348
2022-08,174.3,0.519031141868509
2022-09,175.3,0.5737234652897216
2022-10,176.7,0.7986309184255358
2022-11,176.5,-0.11318619128465324
2022-12,175.7,-0.45325779036827774
2023-01,176.5,0.4553215708594349
2023-02,176.8,0.16997167138810276
2023-03,177.2,0.2262443438913797
2023-04,178.1,0.5079006772009009
2023-05,179.1,0.5614823133071267
2023-06,181.0,1.06085985482971
2023-07,186.3,2.9281767955801064
2023-08,186.2,-0.05367686527107951
2023-09,184.1,-1.1278195488721776
2023-10,185.3,0.6518196632265161
2023-11,186.3,0.5396654074473872
2023-12,185.7,-0.32206119162642155
2024-01,185.5,-0.1077005923532548
2024-02,185.8,0.16172506738545422
2024-03,185.8,0.0
2024-04,186.7,0.4843918191603791
2024-05,187.7,0.5356186395286455
2024-06,190.2,1.331912626531695
2024-07,193.0,1.4721345951629994
2024-08,193.0,0.0
2024-09,194.2,0.6217616580310725
2024-10,196.8,1.338825952626177
2024-11,196.5,-0.1524390243902496
2024-12,195.4,-0.5597964376590325
2025-01,193.4,-1.0235414534288667
2025-02,192.5,-0.46535677352637084
2025-03,192.0,-0.2597402597402598
2025-04,192.6,0.31250000000000444
2025-05,193.0,0.20768431983384517
2025-06,194.2,0.6217616580310725
2025-07,196.1,0.9783728115345003
2025-08,197.0,0.45894951555329744
2025-09,197.0,0.0
2025-10,197.3,0.1522842639593902
2025-11,197.9,0.3041054232133744
2025-12,198.0,0.050530570995444
